city,emp_2004,emp_2015,emp_2024,emp_cagr_pre_ai,emp_cagr_ai_era,emp_abs_growth_pre,emp_abs_growth_ai,wage_cagr_pre_ai,wage_cagr_ai_era,wage_2024
San Francisco-Oakland-Fremont,37455,103230,132593,9.654616546032525,2.82042809516565,65775,29363,10.716678068400354,8.15875913172668,6170
Seattle-Tacoma-Bellevue,16068,45977,77115,10.028999592976295,5.914485088338206,29909,31138,8.651614000757757,10.794613808346387,4951
Boston-Cambridge-Newton,37637,67188,63691,5.409487382729505,-0.5921442612487393,29551,-3497,3.1540148205377427,4.769831727399132,2029
Austin-Round Rock,10175,32523,68673,11.141904546903847,8.659113595336155,22348,36150,,,4350
