id,source_id,extraction_type,status,metrics_extracted,statistics_found,error_message,extraction_time_seconds,started_at,completed_at
65,7,batch_import,success,686,0,,,2025-07-20 00:08:49.561689,2025-07-20 00:08:49.540283
66,19,batch_import,success,59,0,,,2025-07-20 00:08:49.577843,2025-07-20 00:08:49.572034
67,8,batch_import,success,6,0,,,2025-07-20 00:08:49.583737,2025-07-20 00:08:49.581879
68,9,batch_import,success,90,0,,,2025-07-20 00:08:49.594076,2025-07-20 00:08:49.588597
69,10,batch_import,success,106,0,,,2025-07-20 00:08:49.606024,2025-07-20 00:08:49.600364
70,11,batch_import,success,56,0,,,2025-07-20 00:08:49.615082,2025-07-20 00:08:49.611677
71,12,batch_import,success,227,0,,,2025-07-20 00:08:49.631395,2025-07-20 00:08:49.623770
72,20,batch_import,success,18,0,,,2025-07-20 00:08:49.643975,2025-07-20 00:08:49.640088
73,13,batch_import,success,184,0,,,2025-07-20 00:08:49.662418,2025-07-20 00:08:49.652700
74,14,batch_import,success,10,0,,,2025-07-20 00:08:49.672646,2025-07-20 00:08:49.669659
75,21,batch_import,success,1,0,,,2025-07-20 00:08:49.677584,2025-07-20 00:08:49.675889
76,22,batch_import,success,2,0,,,2025-07-20 00:08:49.683502,2025-07-20 00:08:49.680321
77,15,batch_import,success,103,0,,,2025-07-20 00:08:49.692770,2025-07-20 00:08:49.688227
78,16,batch_import,success,87,0,,,2025-07-20 00:08:49.705318,2025-07-20 00:08:49.699022
